created,username,source,text,retwc,hashtag,followers,friends,polarity,geolocation,geoenable
2021-06-28 11:11:56,Jasmine,Twitter for Android,RT @bonglez: David Mabuza - No. 2 is off to Russia for medical treatment for a few weeks. What 3rd wave? What inter ministerial committee o…,37,None,338,1418,-0.06666666666666667,"Durban, South Africa",False
2021-06-28 11:11:56,Na-Kiganda,Twitter for iPhone,"RT @akdn: Testing kits &amp; PPE have been donated to 🇺🇬 as a result of the long partnership between #AKDN &amp; 🇩🇪 @KfW_int, to help #Uganda fight…",7,AKDN,1994,2816,-0.05,"Kajjansi, Uganda",True
2021-06-28 11:11:56,Sohil Makwa,Twitter for Android,"RT @pathan_neamath: What MODI has done to India in 7 years can he say ,

What MODI has sold to whom in 7 years can he say ,

What MODI has…",84,None,152,68,0.0," Ghogha,Bhavnagar, India ",False
2021-06-28 11:11:56,Chandan,Twitter Web App,"RT @rishibagree: Total Covid-19 vaccination:

🇮🇳 - 323.6 million 
🇺🇸 - 323.3 million 

India overtakes USA in COVID-19 vaccination despite…",557,None,145,218,0.0,Bharat,False
2021-06-28 11:11:56,Fiesta Health Web,IFTTT,Red America’s Covid Problem https://t.co/Od1PYeBW7T,0,None,0,1,0.0,,False
2021-06-28 11:11:55,joanne kenny,Twitter Web App,RT @TimExcluded: @TracyBrabin @alisonthewliss @CarolineLucas @EstherMcVey1 @PBottomleyMP @timfarron @JohnDCaudwell @SirRogerGale @amessd_so…,3,None,88,40,0.0,,False
2021-06-28 11:11:55,Nick M. | ニック,Twitter Web App,Covid-19: Hong Kong confirms first local Delta variant case as quarantine tightened to 21 days for all UK arrivals… https://t.co/txUESYKB0I,0,None,1973,1163,0.125,Frankfurt|Hong Kong|Singapore,False
2021-06-28 11:11:55,博士楊靜安 Dr. Jingan Young 🇭🇰,Twitter Web App,RT @JeromeTaylor: Unless HK’s vax rates skyrocket — especially for the extra vulnerable 60+ demographic — I think the city will inevitably…,2,None,4117,1040,-0.125,3 Weeks,False
2021-06-28 11:11:55,fubuki(フブキ),Twitter for iPhone,"RT @cvdom2021: An illegitimate military junta cannot effectively manage a crisis like Covid-19. 

There are 
- no medical doctors willing t…",1239,None,72,143,0.1875,United States,False
2021-06-28 11:11:55,Sarah N. Ssali,TweetDeck,"RT @DavidKalwanga: COVID-19 is real my friends. Stay safe by taking some simple precautions, such as physical distancing, #WearAMask keep r…",6,WearAMask,1075,304,0.13999999999999999,Makerere University,True
2021-06-28 11:11:55,Ladonna James,Twitter for iPhone,RT @scottjshapiro: Climate change is going to make COVID look like a walk in the park,276,None,456,279,0.0,,False
2021-06-28 11:11:55,viswhar,Twitter for iPhone,Scientists Prashant bhushan who discovered a very important application of the One rupee coin now has another disco… https://t.co/SNJcq6kOcr,0,None,3,0,0.52,Planet Earth,False
2021-06-28 11:11:55,Pradeep Dash,Twitter for iPhone,"RT @amitmalviya: 60,000 doses of Covid vaccine went missing from Kolkata’s Ballygunge cold chain depot, only to be found later at Mayor’s H…",1021,None,21,189,-0.2,,False
2021-06-28 11:11:54,Jen 💙⚓️,Twitter for iPhone,RT @MartinSLewis: Spread word. Many children are being sent home by school due to someone in class / year group bubble testing +ve for Covi…,482,None,668,1340,0.1875,,True
2021-06-28 11:11:54,luca#ITALEXIT#PATRIOTA,Twitter for Android,RT @ResPubl79983835: Israel's Health Ministry director resigns amid COVID delta variant outbreak - Israel News - https://t.co/RuBvuqd6x3 ht…,11,None,1040,701,0.0,Marche,True
2021-06-28 11:11:54,Knackering Drinks 🏳️‍⚧️,Twitter for iPhone,"RT @MelindaPerle: The CDC says if you are fully vaccinated, as I am, you can ""resume activities without wearing a mask or physical distanci…",4783,None,382,754,0.0,Manchester,True
2021-06-28 11:11:54,Yemi_Firstson♚,Twitter for iPhone,"RT @MojiDelanoBlog: NCDC Records Two New COVID-19 Cases
https://t.co/RE0peJdC0l",1,None,4351,3907,0.13636363636363635,"Lagos, Nigeria",True
2021-06-28 11:11:54,Sur747,Twitter for Android,"RT @CNN: Pandemics -- such as the 1918 influenza and Covid-19 pandemics -- significantly affect how we work, play and socialize. These are…",72,None,24,475,0.1875,,False
2021-06-28 11:11:54,旅人亜細亜（たびびとあじあ）,Twitter Web App,RT @AFP: #UPDATE Russia's main coronavirus hotspots #Moscow and #SaintPetersburg set new daily pandemic highs for deaths from Covid-19 on M…,13,UPDATE,116,748,0.101010101010101,Hồ Chí Minh,False
2021-06-28 11:11:54,CyberSec BOT,CybotMoshai,RT @Featurez: Covid access testing waiting times caused by cyberattack. https://t.co/cA5aQ266mI https://t.co/CrFQjtUNQ5,1,None,1396,1,0.0,India,False
2021-06-28 11:11:54,Ahmad Taufik,Twitter for Android,"RT @VeronicaKoman: 28/6/21 Tembagapura, West Papua

Freeport’s Indigenous workers protested to refuse Covid-19 vaccination. 33 people were…",42,None,113,254,0.0,,True
2021-06-28 11:11:54,Justice@1964,Twitter for iPhone,Thousands are still dying.  Please get #vaccinated.  https://t.co/VWxGHXXE7r,0,vaccinated,4932,4993,0.0,We are everywhere,False
2021-06-28 11:11:54,Chao Pup - 🥚Wonder Egg Priority🥚 - 💙NHS💙,Twitter for Android,"RT @Gabriel_Pogrund: IN FULL 🚨 Leaked minutes in which DHSC's 2nd permanent secretary describes Matt Hancock's use of his private Gmail

Me…",610,None,380,1222,0.11666666666666665,London,False
2021-06-28 11:11:54,Katie R,Twitter for Android,@Kallantris @AndrewM71155133 @BretWeinstein My daughters 17 year old ex-bf caught covid and had severe chest pains… https://t.co/1UxtlFUWx3,0,None,92,538,0.1,United States,True
2021-06-28 11:11:54,Blue Miaoran 董渺然,Twitter for iPhone,"India’s Covid gender gap: women left behind in vaccination drive. 
“Women often also need permission from their hus… https://t.co/rGFB367EHh",0,None,374,3197,-0.2,"Ontario, Canada",False
2021-06-28 11:11:54,DASHING RAJ,Twitter Web App,"@Central_Railway new scam, train 02150, labourers returning, ticketing through Dalals, counter ticket given 2 sever… https://t.co/yANYiD0QVL",0,None,6,4,0.13636363636363635,,False
2021-06-28 11:11:54,يوهانيس,Twitter for Android,"RT @boosulyn: A restaurant owner in Kijal, Kemaman, dead by suicide.

Lockdowns cost lives.

And it’s not as if MCO is preventing the dozen…",1569,None,332,233,-0.2,MALAYSIA,True
2021-06-28 11:11:53,Jacob Kalevski,Twitter for Android,"RT @cricketcomau: This year's Twenty20 World Cup will be shifted to the United Arab Emirates due to the COVID-19 situation in India, an Ind…",6,None,550,1933,-0.125,,False
2021-06-28 11:11:53,Beni_LL,Twitter for iPhone,RT @DrRosena: I see the new Health Secretary has already decided he has the foresight to predict Covid hospitalisations and deaths 3 weeks…,76,None,456,387,0.13636363636363635,,True
2021-06-28 11:11:53,John Press,Twitter for Android,"RT @JacquesMaree73: On the day that Gauteng Premier David Makhura vowed that police and soldiers would clamp down on Covid spreaders, the E…",90,None,9,38,-0.15555555555555559,,False
2021-06-28 11:11:53,Lesley Liverpool 🇬🇧,Twitter Web App,"RT @commonwealthsec: The COVID-19 Policy Briefing Series: Natural Resources, Biodiversity and Climate Goals webinar will discuss a recent s…",2,None,66,472,0.05,UK,False
2021-06-28 11:11:53,Anne Murphy,Twitter for Android,"RT @griptmedia: As the government discusses delaying re-opening, there were literally more expert members of NPHET than there were patients…",10,None,98,27,0.5, Ireland,False
2021-06-28 11:11:53,SKP,Twitter for Android,"RT @FirhadHakim: No river will be deep enough to drown the truth
No noise will be loud enough to silence the voices

Never forgive. Never f…",105,None,4338,1214,0.025,City of Joy👍,True
2021-06-28 11:11:52,Hathaway_Noaa,Twitter for Android,RT @SkyNews: BREAKING: Research shows a third dose of the AstraZeneca #COVID19 vaccine at least six months after the second jab would boost…,21,COVID19,1172,832,-0.09999999999999999,,False
2021-06-28 11:11:52,Ei Ei Mon,Twitter for Android,"CDM government servants of Ministry of Agriculture, Livestock, and Irrigation,Department of Cooperatives are being… https://t.co/ndj7aUFqjx",0,None,139,217,0.0,United States,False
2021-06-28 11:11:52,Ian Norton,Twitter Web App,"RT @zoeharcombe: We've always had post viral fatigue syndrome. 
We used to dismiss it (wrongly in my view) as ""yuppy flu.""
Now we call it l…",252,None,59,50,-0.5,,False
